,year,violent,cauc,population,income,density,state,law
380,1988,365.2,65.0228,2.461987,13750.7,0.0301057,Kansas,no
381,1989,400.8,64.77983,2.472847,13725.68,0.0302385,Kansas,no
382,1990,447.7,66.75621,2.480683,13854.68,0.0303177,Kansas,no
383,1991,499.6,66.77325,2.495209,13766.19,0.0304952,Kansas,no
384,1992,510.8,66.91853,2.526042,14168.05,0.030872,Kansas,no
385,1993,496.4,67.08665,2.547605,14131.39,0.0311356,Kansas,no
386,1994,443,67.2344,2.569118,14348.54,0.0313985,Kansas,no
387,1995,420.7,67.45663,2.586942,14315.41,0.0316163,Kansas,no
388,1996,413.8,67.61414,2.598266,14681.84,0.0317547,Kansas,no
389,1997,409.2,67.69551,2.616339,15126.32,0.0319756,Kansas,no
390,1998,397,67.77126,2.638667,15645.27,0.0322485,Kansas,no
391,1999,382.8,67.8686,2.654052,15969.59,0.0324365,Kansas,no
392,1977,233.6,67.92831,3.573694,10020.18,0.090131,Kentucky,no
393,1978,223.2,67.94283,3.609976,10365.95,0.0910461,Kentucky,no
394,1979,248,67.92229,3.641806,10482.08,0.0918488,Kentucky,no
395,1980,266.7,67.81461,3.664221,9951.279,0.0923699,Kentucky,no
396,1981,289.5,67.84683,3.670385,9984.56,0.0925253,Kentucky,no
397,1982,315,67.86681,3.683437,9895.847,0.0928543,Kentucky,no
398,1983,322.2,67.87104,3.69448,9859,0.0931327,Kentucky,no
399,1984,277.8,67.74832,3.695451,10608.46,0.0931571,Kentucky,no
400,1985,305.5,67.71535,3.694827,10702.71,0.0931414,Kentucky,no
401,1986,334.4,67.63098,3.687813,10903.45,0.0929646,Kentucky,no
402,1987,337.8,67.61863,3.683325,11209.81,0.0928515,Kentucky,no
403,1988,330.1,67.65378,3.680003,11425.94,0.0927677,Kentucky,no
404,1989,356.9,67.61806,3.677312,11725.41,0.0926999,Kentucky,no
405,1990,390.4,69.96033,3.692584,11798.81,0.0929373,Kentucky,no
406,1991,438,69.9856,3.714686,11872.17,0.0934936,Kentucky,no
407,1992,535.5,69.97852,3.756358,12297.2,0.0945424,Kentucky,no
408,1993,462.7,70.01945,3.792288,12274.54,0.0954467,Kentucky,no
409,1994,444,69.9761,3.823215,12441.41,0.0962251,Kentucky,no
410,1995,364.7,70.02628,3.855248,12566.61,0.0970313,Kentucky,no
411,1996,320.5,70.04683,3.881051,12798.42,0.0976807,Kentucky,no
412,1997,316.9,69.90127,3.907816,13178.24,0.0983544,Kentucky,yes
413,1998,284,70.05663,3.93431,13660.74,0.0990212,Kentucky,yes
414,1999,300.6,70.29076,3.960825,13889.75,0.0996885,Kentucky,yes
415,1977,524.8,52.29824,4.014462,10085.94,0.0893492,Louisiana,no
416,1978,584.9,52.32671,4.068578,10621.13,0.0905537,Louisiana,no
417,1979,676.3,52.26536,4.137666,10719.44,0.0920914,Louisiana,no
418,1980,665,52.01642,4.223101,10679.1,0.0948564,Louisiana,no
419,1981,638.3,51.95408,4.283298,11000.55,0.0962085,Louisiana,no
420,1982,669.1,51.83288,4.35261,10895.85,0.0977653,Louisiana,no
421,1983,640.9,51.59832,4.395316,10865,0.0987246,Louisiana,no
422,1984,678,51.28816,4.400474,11151.25,0.0988404,Louisiana,no
423,1985,694.2,50.92176,4.408121,11224.05,0.0990122,Louisiana,no
424,1986,758.2,50.47743,4.406918,10933.45,0.0989852,Louisiana,no
425,1987,693,50.08353,4.344129,10757.28,0.0975748,Louisiana,no
426,1988,717.4,49.70518,4.288835,11041.15,0.0963329,Louisiana,no
427,1989,781.8,49.49004,4.252906,11239.59,0.0955258,Louisiana,no
428,1990,898.4,51.18166,4.219179,11599.93,0.0968457,Louisiana,no
429,1991,951,50.99825,4.24095,11751.56,0.0973454,Louisiana,no
430,1992,984.6,50.81783,4.270849,12047.28,0.0980317,Louisiana,yes
431,1993,1061.7,50.63774,4.284749,12207.01,0.0983508,Louisiana,yes
432,1994,981.9,50.49049,4.3065,12619.49,0.09885,Louisiana,yes
433,1995,1007.4,50.39554,4.327978,12779.81,0.099343,Louisiana,yes
434,1996,929.1,50.31187,4.338763,12861.29,0.0995906,Louisiana,yes
435,1997,855.9,50.23799,4.35139,13170.17,0.0998804,Louisiana,yes
436,1998,779.5,50.2277,4.362758,13656.46,0.1001413,Louisiana,yes
437,1999,732.7,50.20788,4.372035,13657.72,0.1003543,Louisiana,yes
438,1977,224.7,72.24625,1.103577,10097.45,0.0356914,Maine,no
439,1978,207.7,72.36075,1.113565,10315.53,0.0360144,Maine,no
440,1979,202.5,72.46732,1.122564,10285.88,0.0363054,Maine,no
441,1980,193.4,72.38139,1.12686,10165.27,0.0363562,Maine,no
442,1981,195.6,72.41499,1.133021,10117.18,0.036555,Maine,no
443,1982,163,72.28526,1.136684,10188.94,0.0366731,Maine,yes
444,1983,159.6,72.15456,1.144769,10551,0.036934,Maine,yes
445,1984,158.5,72.09315,1.15563,11186.74,0.0372844,Maine,yes
446,1985,167.5,71.89352,1.162935,11605.56,0.0375201,Maine,yes
447,1986,147,71.6749,1.170121,12237.87,0.0377519,Maine,yes
448,1987,152.1,71.55804,1.18457,12799.81,0.0382181,Maine,yes
449,1988,157.4,71.5842,1.20383,13314.55,0.0388395,Maine,yes
450,1989,137.2,71.46689,1.219944,13559.46,0.0393594,Maine,yes
451,1990,143.2,73.81962,1.231296,13319,0.039893,Maine,yes
452,1991,132.1,73.74602,1.235439,12910.92,0.0400272,Maine,yes
453,1992,130.9,73.66696,1.235748,13028.5,0.0400372,Maine,yes
454,1993,125.7,73.72951,1.238256,12960.09,0.0401184,Maine,yes
455,1994,129.9,73.79119,1.237687,13124.83,0.0401,Maine,yes
456,1995,131.4,74.01494,1.237438,13236.96,0.040092,Maine,yes
457,1996,124.9,74.31354,1.241436,13521.06,0.0402215,Maine,yes
458,1997,120.8,74.57877,1.245215,13850.78,0.0403439,Maine,yes
459,1998,125.8,74.81993,1.247554,14376.22,0.0404197,Maine,yes
460,1999,112.2,75.10503,1.25304,14700.04,0.0405974,Maine,yes
461,1977,693.8,59.80103,4.169594,13466,0.4215544,Maryland,no
462,1978,732,59.47229,4.183604,13846.74,0.4229708,Maryland,no
463,1979,795.5,59.09584,4.191163,13768.02,0.423735,Maryland,no
464,1980,852.4,58.11522,4.227643,13577.07,0.4297695,Maryland,no
465,1981,887.1,57.74186,4.261908,13593.69,0.4332528,Maryland,no
466,1982,850,57.23314,4.282917,13669.87,0.4353885,Maryland,no
467,1983,807.1,56.66724,4.313319,14228,0.4384791,Maryland,no
468,1984,792.3,56.08654,4.365238,15049.59,0.4437571,Maryland,no
469,1985,834.6,55.51143,4.413075,15705.89,0.44862,Maryland,no
470,1986,833,54.97762,4.486957,16331.09,0.4561306,Maryland,no
471,1987,767.8,54.49474,4.565578,16852.43,0.464123,Maryland,no
472,1988,806.8,53.95152,4.657908,17367.09,0.473509,Maryland,no
473,1989,855.4,53.39462,4.727298,17666.8,0.480563,Maryland,no
474,1990,919,54.47374,4.797431,17543.53,0.4907858,Maryland,no
475,1991,956.2,53.90336,4.856176,17230.4,0.4967955,Maryland,no
476,1992,1000.1,53.36663,4.902545,17294.18,0.5015391,Maryland,no
477,1993,997.8,52.75498,4.942504,17296.66,0.505627,Maryland,no
478,1994,948,52.30801,4.985411,17502.91,0.5100165,Maryland,no
479,1995,986.9,51.92822,5.02365,17589.98,0.5139284,Maryland,no
480,1996,931.2,51.63616,5.057142,17680.94,0.5173547,Maryland,no
481,1997,846.6,51.32299,5.092914,18146.86,0.5210142,Maryland,no
482,1998,796.6,51.06369,5.130072,18843.85,0.5248156,Maryland,no
483,1999,743.4,50.83417,5.171634,19445.17,0.5290675,Maryland,no
484,1977,425.3,70.84088,5.738201,12553.58,0.7332227,Massachusetts,no
485,1978,462,70.9734,5.73647,12957.44,0.7330015,Massachusetts,no
486,1979,531.3,71.03321,5.738406,12995.58,0.7332489,Massachusetts,no
487,1980,601.3,70.91966,5.746075,12903.66,0.7344165,Massachusetts,no
488,1981,628.6,70.83539,5.768683,12965.68,0.7373061,Massachusetts,no
489,1982,571.4,70.54771,5.771226,13212.7,0.7376311,Massachusetts,no
490,1983,576.8,70.15474,5.799403,13859,0.7412325,Massachusetts,no
491,1984,523.7,69.82819,5.840772,14911.49,0.74652,Massachusetts,no
492,1985,538.2,69.40924,5.880743,15482.72,0.7516287,Massachusetts,no
493,1986,556.9,68.89589,5.902682,16320.18,0.7544328,Massachusetts,no
494,1987,564.6,68.4094,5.935209,17105.01,0.7585901,Massachusetts,no
495,1988,619.6,68.05308,5.979981,17963.23,0.7643125,Massachusetts,no
496,1989,675,67.52338,6.015479,18033.77,0.7688496,Massachusetts,no
497,1990,736.3,69.19524,6.018664,17695.93,0.7678826,Massachusetts,no
498,1991,736.1,68.4557,5.998652,17360.52,0.7653294,Massachusetts,no
499,1992,779,67.97533,5.993474,17661.96,0.7646688,Massachusetts,no
500,1993,804.9,67.48496,6.010884,17682.5,0.76689,Massachusetts,no
501,1994,707.6,67.2147,6.031352,18037.15,0.7695014,Massachusetts,no
502,1995,687.2,67.07729,6.062335,18345.35,0.7734544,Massachusetts,no
503,1996,642.2,66.97061,6.085393,18807.43,0.7763961,Massachusetts,no
504,1997,644.2,66.94775,6.115476,19455.93,0.7802343,Massachusetts,no
505,1998,621.3,66.97878,6.144407,20411.68,0.7839254,Massachusetts,no
506,1999,551,67.02943,6.175169,21245.15,0.7878501,Massachusetts,no
507,1977,584.7,64.94021,9.17111,13081.31,0.1614149,Michigan,no
508,1978,577.2,64.84695,9.217762,13498.35,0.162236,Michigan,no
509,1979,614.2,64.72587,9.266269,13309.77,0.1630897,Michigan,no
510,1980,639.5,64.53066,9.255553,12536.12,0.1625093,Michigan,no
511,1981,641.9,64.3437,9.209284,12193,0.1616969,Michigan,no
512,1982,656.6,64.04739,9.115202,11828.78,0.160045,Michigan,no
513,1983,716.7,63.67474,9.047753,12243,0.1588607,Michigan,no
514,1984,760.1,63.40595,9.049446,13019.38,0.1588904,Michigan,no
515,1985,734.1,63.11989,9.076297,13643.68,0.1593619,Michigan,no
516,1986,803.9,62.83232,9.127776,14155.86,0.1602658,Michigan,no
517,1987,780.1,62.52574,9.187485,14146.01,0.1613141,Michigan,no
518,1988,741.7,62.2057,9.218,14480.72,0.1618499,Michigan,no
519,1989,709.2,61.78036,9.25329,14675.63,0.1624695,Michigan,no
520,1990,790.4,63.41766,9.310462,14494.76,0.1638906,Michigan,no
521,1991,803.1,63.24012,9.395022,14121.46,0.1653791,Michigan,no
522,1992,770.1,63.13263,9.470323,14397.38,0.1667046,Michigan,no
523,1993,791.5,62.94234,9.52924,14737.71,0.1677417,Michigan,no
524,1994,766.1,62.84308,9.584481,15363.26,0.1687141,Michigan,no
525,1995,687.8,62.77747,9.659871,15679.65,0.1700412,Michigan,no
526,1996,635.3,62.8381,9.739184,15523.84,0.1714374,Michigan,no
527,1997,590,62.85872,9.78545,15878.97,0.1722518,Michigan,no
528,1998,620.8,62.91081,9.820231,16376.02,0.172864,Michigan,no
529,1999,574.9,62.94402,9.863775,16806.19,0.1736305,Michigan,no
530,1977,193.8,71.22099,3.989365,12427,0.0503142,Minnesota,no
531,1978,189.6,71.18407,4.015341,12943.69,0.0506418,Minnesota,no
532,1979,221,71.14611,4.050317,12909.15,0.051083,Minnesota,no
533,1980,227.8,71.29826,4.085017,12476.88,0.0513529,Minnesota,no
534,1981,228.5,71.04656,4.111674,12406.72,0.051688,Minnesota,no
535,1982,219.3,70.61434,4.131444,12375.74,0.0519365,Minnesota,no
536,1983,190.9,70.1346,4.141438,12594,0.0520621,Minnesota,no
537,1984,211.5,69.76175,4.157698,13670.54,0.0522665,Minnesota,no
538,1985,256.4,69.45553,4.184286,13976.12,0.0526008,Minnesota,no
539,1986,284.6,69.1105,4.205208,14435.83,0.0528638,Minnesota,no
540,1987,285.4,68.82535,4.23514,14820.42,0.0532401,Minnesota,no
541,1988,290.1,68.66412,4.296162,14812.46,0.0540072,Minnesota,no
542,1989,288.3,68.40837,4.338045,15229.7,0.0545337,Minnesota,no
543,1990,306.1,70.15536,4.387283,15248.38,0.0551049,Minnesota,no
544,1991,316,70.20422,4.427429,14977.46,0.0556091,Minnesota,no
545,1992,338,70.13239,4.471503,15405.58,0.0561627,Minnesota,no
546,1993,353.9,70.17619,4.521709,15204.85,0.0567933,Minnesota,no
547,1994,359,70.19733,4.566028,15769.82,0.0573499,Minnesota,no
548,1995,356.1,70.28978,4.605445,16077.28,0.057845,Minnesota,no
549,1996,338.8,70.42294,4.647723,16679.54,0.058376,Minnesota,no
550,1997,337.8,70.42054,4.687726,17091.78,0.0588785,Minnesota,no
551,1998,310.2,70.36256,4.726411,18008.61,0.0593643,Minnesota,no
552,1999,274,70.39762,4.775508,18383.72,0.059981,Minnesota,no
553,1977,288.7,47.1701,2.459202,8645.796,0.051996,Mississippi,no
554,1978,321.2,47.24821,2.487817,8871.568,0.052601,Mississippi,no
555,1979,323.6,47.29527,2.507067,8985.228,0.053008,Mississippi,no
556,1980,341.9,47.1011,2.525342,8554.884,0.0534656,Mississippi,no
557,1981,304.6,47.06833,2.539051,8659.495,0.0537559,Mississippi,no
558,1982,294.6,46.95921,2.556768,8566.631,0.054131,Mississippi,no
559,1983,280.4,46.82973,2.56773,8615,0.0543631,Mississippi,no
560,1984,282,46.61835,2.578058,9075.017,0.0545817,Mississippi,no
561,1985,270.9,46.47882,2.588097,9187.772,0.0547943,Mississippi,no
562,1986,274.1,46.41185,2.593596,9356.337,0.0549107,Mississippi,no
563,1987,269.8,46.35433,2.588539,9570.701,0.0548036,Mississippi,no
564,1988,325.2,46.27898,2.580353,9847.19,0.0546303,Mississippi,no
565,1989,311.2,46.19701,2.574273,10069.62,0.0545016,Mississippi,no
566,1990,340.4,48.01193,2.577426,10030.97,0.0549394,Mississippi,no
567,1991,389.1,47.8049,2.59123,10092.19,0.0552336,Mississippi,yes
568,1992,411.7,47.48308,2.610193,10444.81,0.0556378,Mississippi,yes
569,1993,433.9,47.34798,2.635574,10657.45,0.0561788,Mississippi,yes
570,1994,493.7,47.248,2.66345,11120.93,0.056773,Mississippi,yes
571,1995,502.8,47.20134,2.690788,11238.99,0.0573558,Mississippi,yes
572,1996,488.3,47.11795,2.709925,11457.94,0.0577637,Mississippi,yes
573,1997,469,47.01833,2.731826,11729.45,0.0582305,Mississippi,yes
574,1998,410.7,47.03033,2.751335,12209,0.0586464,Mississippi,yes
575,1999,349.3,47.0393,2.768619,12370.23,0.0590148,Mississippi,yes
576,1977,460.4,64.35242,4.863175,11493.2,0.0704859,Missouri,no
577,1978,467.9,64.30529,4.8894,11898.54,0.070866,Missouri,no
578,1979,527.2,64.122,4.912428,11954.24,0.0711998,Missouri,no
579,1980,554.5,64.24608,4.921966,11352.51,0.0713897,Missouri,no
580,1981,540.2,64.13373,4.932079,11460.87,0.0715364,Missouri,no
581,1982,506.5,63.91703,4.929442,11388.12,0.0714982,Missouri,no
582,1983,477.2,63.74535,4.943727,11716,0.0717054,Missouri,no
583,1984,460.7,63.53048,4.975283,12428.64,0.0721631,Missouri,no
584,1985,503.5,63.32874,5.000254,12841.77,0.0725253,Missouri,no
585,1986,578.6,63.10036,5.023068,13185.04,0.0728562,Missouri,no
586,1987,544.6,62.981,5.056695,13374.25,0.0733439,Missouri,no
587,1988,552.5,62.86436,5.08173,13544.41,0.073707,Missouri,no
588,1989,632.6,62.6871,5.095819,13717.65,0.0739114,Missouri,no
589,1990,715.3,64.76237,5.12637,13526.26,0.0744052,Missouri,no
590,1991,763,64.69089,5.15777,13567.36,0.074861,Missouri,no
591,1992,740.4,64.61243,5.193686,13874.82,0.0753822,Missouri,no
592,1993,744.4,64.60291,5.237757,13983.26,0.0760219,Missouri,no
593,1994,743.5,64.67593,5.281206,14291.42,0.0766525,Missouri,no
594,1995,663.8,64.7411,5.32461,14449.48,0.0772825,Missouri,no
595,1996,590.9,64.7839,5.367888,14667.86,0.0779107,Missouri,no
596,1997,577.4,64.83846,5.407113,15061.73,0.07848,Missouri,no
597,1998,555.7,64.95696,5.437562,15546.28,0.0789219,Missouri,no
598,1999,500.2,65.11991,5.468338,15789.59,0.0793686,Missouri,no
599,1977,218,70.30823,0.769954,10909.58,0.0052886,Montana,no
600,1978,237.6,70.22367,0.782316,11797.69,0.0053735,Montana,no
601,1979,224.2,70.05479,0.787308,11386.23,0.0054078,Montana,no
602,1980,222.6,69.50651,0.788752,11053.89,0.0054252,Montana,no
603,1981,253,69.26559,0.795317,11227.42,0.0054703,Montana,no
604,1982,224.8,68.82399,0.80399,11013.5,0.00553,Montana,no
605,1983,212.6,68.35551,0.814028,11045,0.005599,Montana,no
606,1984,237.6,67.86086,0.820893,11225.09,0.0056462,Montana,no
607,1985,208.5,67.42729,0.822305,11019.4,0.0056559,Montana,no
608,1986,157.4,67.00379,0.813748,11330.68,0.0055971,Montana,no
609,1987,151.2,66.64787,0.805064,11397.49,0.0055373,Montana,no
610,1988,123,66.35466,0.800194,11250.8,0.0055039,Montana,no
611,1989,116,66.1925,0.799642,11742.27,0.0055001,Montana,no
612,1990,159.3,68.23551,0.799824,11829.29,0.005495,Montana,no
613,1991,139.9,68.46097,0.807837,12068.08,0.00555,Montana,no
614,1992,169.9,68.7589,0.822436,12150.94,0.0056503,Montana,yes
615,1993,177.5,69.12568,0.839876,12451.61,0.0057701,Montana,yes
616,1994,177.1,69.45094,0.854923,12182.69,0.0058735,Montana,yes
617,1995,171.4,69.94066,0.868522,12271.66,0.0059669,Montana,yes
618,1996,161,70.26747,0.876656,12308.2,0.0060228,Montana,yes
619,1997,132.1,70.51744,0.878706,12527.43,0.0060369,Montana,yes
620,1998,138.8,70.57711,0.879533,13018.58,0.0060426,Montana,yes
621,1999,206.5,70.73254,0.882779,13154.21,0.0060649,Montana,yes
622,1977,199.4,68.76288,1.556843,11496.49,0.0203554,Nebraska,no
623,1978,190.5,68.61212,1.563884,12407.36,0.0204475,Nebraska,no
624,1979,225.9,68.48695,1.567344,12051.65,0.0204927,Nebraska,no
625,1980,224.6,68.48768,1.572296,11209.85,0.0205143,Nebraska,no
626,1981,181.5,68.36901,1.578528,11710.76,0.0205956,Nebraska,no
627,1982,229.6,68.11826,1.581786,11587.3,0.0206381,Nebraska,no
628,1983,217.7,67.8284,1.584301,11601,0.0206709,Nebraska,no
629,1984,225.8,67.58923,1.588629,12436.31,0.0207274,Nebraska,no
630,1985,237.9,67.31978,1.584662,12726.02,0.0206756,Nebraska,no
631,1986,262.6,66.95992,1.574336,12921.43,0.0205409,Nebraska,no
632,1987,251.2,66.74837,1.566558,13185.69,0.0204394,Nebraska,no
633,1988,273.2,66.65886,1.571464,13458.53,0.0205034,Nebraska,no
634,1989,279.5,66.45169,1.574881,13553.03,0.020548,Nebraska,no
635,1990,330,68.57947,1.580664,13783.06,0.0205607,Nebraska,no
636,1991,334.6,68.71162,1.590805,13717.95,0.0206926,Nebraska,no
637,1992,348.6,68.94002,1.602406,13978.48,0.0208435,Nebraska,no
638,1993,377.8,69.01521,1.612149,13895.06,0.0209702,Nebraska,no
639,1994,389.5,69.06844,1.621551,14224.9,0.0210925,Nebraska,no
640,1995,382,69.22701,1.635142,14516.18,0.0212693,Nebraska,no
641,1996,435,69.32784,1.647657,15268.57,0.0214321,Nebraska,no
642,1997,438.4,69.34474,1.656042,15271.01,0.0215412,Nebraska,no
643,1998,451.4,69.3675,1.660772,15809.01,0.0216027,Nebraska,no
644,1999,430.2,69.41042,1.666028,16174.11,0.0216711,Nebraska,no
645,1977,743,70.3189,0.678334,14056.2,0.0061729,Nevada,no
646,1978,780.8,70.3098,0.719436,14943.84,0.0065469,Nevada,no
647,1979,835.6,70.28146,0.765364,14769.58,0.0069649,Nevada,no
648,1980,912.6,70.01524,0.810215,14242.02,0.0073727,Nevada,no
649,1981,896.4,69.68533,0.847639,14006.88,0.0077132,Nevada,no
650,1982,805.4,69.2001,0.881545,13401.55,0.0080218,Nevada,no
651,1983,655.2,68.61285,0.901974,13465,0.0082077,Nevada,no
652,1984,628.5,68.18571,0.924905,13843.16,0.0084163,Nevada,no
653,1985,667.1,67.63983,0.951024,14197.43,0.008654,Nevada,no
654,1986,718.9,67.12231,0.980653,14568.54,0.0089236,Nevada,no
655,1987,695.7,66.6797,1.023418,14809.02,0.0093128,Nevada,no
656,1988,780.7,66.14903,1.075027,15307.56,0.0097824,Nevada,no
657,1989,625.3,65.82648,1.137369,15713.1,0.0103497,Nevada,no
658,1990,600.9,66.68157,1.218629,15753.59,0.011098,Nevada,no
659,1991,677,66.65909,1.285046,15557.87,0.0117029,Nevada,no
660,1992,696.8,66.16871,1.330694,16112.74,0.0121186,Nevada,no
661,1993,875.2,65.53869,1.380197,16167.39,0.0125694,Nevada,no
662,1994,1001.9,65.17899,1.456388,16554.72,0.0132633,Nevada,no
663,1995,945.2,64.9338,1.525777,16878.43,0.0138952,Nevada,no
664,1996,811.3,64.62309,1.596476,17235.17,0.0145391,Nevada,yes
665,1997,798.7,64.46743,1.675581,17514.68,0.0152595,Nevada,yes
666,1998,643.6,64.02489,1.743772,18210.24,0.0158805,Nevada,yes
667,1999,570,63.63499,1.809253,18540.39,0.0164768,Nevada,yes
668,1977,113.1,73.57484,0.869762,11330.45,0.0963512,New Hampshire,yes
669,1978,118.8,73.85667,0.89152,11897.01,0.0987615,New Hampshire,yes
670,1979,139.9,74.08883,0.909075,12047.53,0.1007062,New Hampshire,yes
671,1980,179.8,73.9855,0.92425,11987.24,0.1027744,New Hampshire,yes
672,1981,147.1,74.05631,0.936644,12142.58,0.1041526,New Hampshire,yes
673,1982,124.8,73.92619,0.947717,12286.99,0.1053839,New Hampshire,yes
674,1983,125.1,73.81657,0.958125,13041,0.1065412,New Hampshire,yes
675,1984,133.9,73.76155,0.976864,13938.11,0.1086249,New Hampshire,yes
676,1985,140.8,73.6675,0.996757,14648.39,0.110837,New Hampshire,yes
677,1986,139.5,73.46386,1.025055,15429.37,0.1139837,New Hampshire,yes
678,1987,149.6,73.37527,1.054283,16111.37,0.1172337,New Hampshire,yes
679,1988,147.9,73.11699,1.082576,16637.08,0.1203799,New Hampshire,yes
680,1989,168.5,72.84719,1.104523,16569.9,0.1228203,New Hampshire,yes
681,1990,131.5,74.6099,1.111831,15783.31,0.1239638,New Hampshire,yes
682,1991,119.3,74.20372,1.107055,15589.31,0.1234313,New Hampshire,yes
683,1992,125.7,73.96066,1.112766,15729.34,0.124068,New Hampshire,yes
684,1993,137.8,73.87815,1.122191,15516.97,0.1251189,New Hampshire,yes
685,1994,116.8,73.81678,1.133054,16007.04,0.12633,New Hampshire,yes
686,1995,114.5,73.95155,1.145604,16355.23,0.1277293,New Hampshire,yes
687,1996,118.2,74.15676,1.160768,16536.67,0.12942,New Hampshire,yes
688,1997,113.2,74.3932,1.173239,17147.67,0.1308105,New Hampshire,yes
689,1998,107.2,74.50977,1.185823,18083.16,0.1322135,New Hampshire,yes
690,1999,96.5,74.65687,1.201134,18732.35,0.1339206,New Hampshire,yes
691,1977,392,65.03551,7.337173,13911.53,0.9755582,New Jersey,no
692,1978,423.5,64.8823,7.350804,14375.42,0.9773706,New Jersey,no
693,1979,501.2,64.69986,7.366514,14363.47,0.9794593,New Jersey,no
694,1980,604.4,64.31933,7.37633,14239.6,0.987725,New Jersey,no
695,1981,630.6,64.17092,7.407475,14310.47,0.9918954,New Jersey,no
696,1982,607.4,63.82298,7.430968,14446.97,0.9950413,New Jersey,no
697,1983,553.1,63.40572,7.467789,15036,0.9999717,New Jersey,no
698,1984,527.7,62.98526,7.515478,15870.49,1.006358,New Jersey,no
699,1985,544.5,62.48153,7.565519,16345.75,1.013058,New Jersey,no
700,1986,572.5,61.98893,7.62215,17008.3,1.020641,New Jersey,no
701,1987,541,61.44269,7.670743,17741.71,1.027148,New Jersey,no
702,1988,582.8,60.93272,7.712334,18643.56,1.032717,New Jersey,no
703,1989,609,60.30417,7.726086,18946.78,1.034559,New Jersey,no
704,1990,647.6,61.64635,7.757158,18871.69,1.04558,New Jersey,no
705,1991,634.8,60.94882,7.784269,18386.84,1.049234,New Jersey,no
706,1992,625.8,60.26407,7.82777,18883.87,1.055098,New Jersey,no
707,1993,626.9,59.64001,7.874891,18672.59,1.061449,New Jersey,no
708,1994,614.2,59.09557,7.918796,18738.72,1.067367,New Jersey,no
709,1995,599.8,58.70015,7.965523,19147.16,1.073665,New Jersey,no
710,1996,531.5,58.40384,8.009624,19554.82,1.07961,New Jersey,no
711,1997,492.6,58.26071,8.054178,20101.15,1.085615,New Jersey,no
712,1998,440.1,58.16805,8.095542,20866.26,1.09119,New Jersey,no
713,1999,411.9,58.14891,8.143412,21295.97,1.097643,New Jersey,no
714,1977,500.9,67.43304,1.21572,10007.03,0.0100132,New Mexico,no
715,1978,528.2,67.4426,1.238035,10462.22,0.010197,New Mexico,no
716,1979,586,66.25013,1.284722,10453.27,0.0105815,New Mexico,no
717,1980,615,66.17848,1.3094,10158.02,0.0107916,New Mexico,no
718,1981,671.7,66.15292,1.332709,10230.06,0.0109837,New Mexico,no
719,1982,734.5,65.99296,1.363794,10210.61,0.0112399,New Mexico,no
720,1983,686.8,65.8366,1.394352,10367,0.0114918,New Mexico,no
721,1984,688.1,65.47836,1.416665,10755.19,0.0116756,New Mexico,no
722,1985,703.9,65.09621,1.438371,11111.07,0.0118545,New Mexico,no
723,1986,725.6,64.78448,1.462727,11113.43,0.0120553,New Mexico,no
724,1987,628.5,64.37509,1.478519,11125.62,0.0121854,New Mexico,no
725,1988,658.1,63.93434,1.490329,11217.12,0.0122828,New Mexico,no
726,1989,703.9,63.60856,1.503892,11310.26,0.0123945,New Mexico,no
727,1990,780.2,64.0296,1.519933,11399.52,0.0125237,New Mexico,no
728,1991,834.8,63.90107,1.547115,11508.86,0.0127476,New Mexico,no
729,1992,934.9,63.8187,1.58075,11661.75,0.0130248,New Mexico,no
730,1993,929.7,63.69611,1.614937,11868.71,0.0133064,New Mexico,no
731,1994,889.2,63.84676,1.653329,12059.71,0.0136228,New Mexico,no
732,1995,819.2,63.94342,1.682417,12329.21,0.0138625,New Mexico,no
733,1996,840.6,63.96568,1.706151,12368.53,0.014058,New Mexico,no
734,1997,853.3,63.73423,1.722939,12564.69,0.0141963,New Mexico,no
735,1998,961.4,63.52061,1.733535,12935.48,0.0142836,New Mexico,no
736,1999,834.5,63.32625,1.739844,13057.93,0.0143356,New Mexico,no
737,1977,831.8,62.9616,17.81261,13403.53,0.3724071,New York,no
738,1978,841,62.78698,17.68059,13719.91,0.3696471,New York,no
739,1979,917.4,62.59568,17.58384,13619.84,0.3676244,New York,no
740,1980,1029.5,61.99079,17.56675,13413.85,0.3707865,New York,no
741,1981,1069.6,61.791,17.56773,13550.94,0.3708071,New York,no
742,1982,990.1,61.32369,17.58975,13771.01,0.3712718,New York,no
743,1983,914.1,60.80314,17.6869,14188,0.3733226,New York,no
744,1984,914.3,60.28036,17.74569,15093.7,0.3745634,New York,no
745,1985,929.9,59.72289,17.79167,15495.68,0.3755339,New York,no
746,1986,985.9,59.12571,17.83342,16204.74,0.3764151,New York,no
747,1987,1008.1,58.5247,17.86885,16690.19,0.3771629,New York,no
748,1988,1097.3,58.01797,17.94131,17348.57,0.3786924,New York,no
749,1989,1131.2,57.44759,17.98309,17638.7,0.3795742,New York,no
750,1990,1180.9,58.69953,18.00286,17766.03,0.3812226,New York,no
751,1991,1163.9,58.12228,18.02953,17501.6,0.3817875,New York,no
752,1992,1122.1,57.58609,18.08203,17891.29,0.3828992,New York,no
753,1993,1073.5,57.12248,18.14089,17630.82,0.3841456,New York,no
754,1994,965.6,56.68006,18.15665,17713.25,0.3844793,New York,no
755,1995,841.9,56.29628,18.15093,18129.53,0.3843581,New York,no
